Helmet Status,LP Status,LP Number,No of passengers
Wearing,Not Found,Not Found,1
Not Found,Not Found,Not Found,0
Wearing,Found,pb10bq4255,1
Not Found,Found,pb10et8860,0
Not Found,Found,pb10fc1652,0
Not Found,Found,pb10eei6024,0
Wearing,Found,pb10fu7932,1
Not Found,Found,pb33c1622,0
Wearing,Found,hp15a0194,1
Not Found,Found,hp15a0194,0
Not Found,Found,pb10oj2763,0
Wearing,Found,pb10cr1081,1
Not Wearing,Found,pb10ec0103,1
Not Found,Found,None,0
Wearing,Found,pb1091,1
Not Found,Found,pr11w9231,0
Not Found,Found,pb43c7737,0
Not Found,Found,pb10fb1383,0
Not Wearing,Not Found,Not Found,1
